timestamp,FR_hip_joint_pos,FR_hip_joint_vel,FR_thigh_joint_pos,FR_thigh_joint_vel,FR_calf_joint_pos,FR_calf_joint_vel,FL_hip_joint_pos,FL_hip_joint_vel,FL_thigh_joint_pos,FL_thigh_joint_vel,FL_calf_joint_pos,FL_calf_joint_vel,RR_hip_joint_pos,RR_hip_joint_vel,RR_thigh_joint_pos,RR_thigh_joint_vel,RR_calf_joint_pos,RR_calf_joint_vel,RL_hip_joint_pos,RL_hip_joint_vel,RL_thigh_joint_pos,RL_thigh_joint_vel,RL_calf_joint_pos,RL_calf_joint_vel,pendulum_joint1_pos,pendulum_joint1_vel,pendulum_joint2_pos,pendulum_joint2_vel
1776712954.3702319,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.05200342147286449,-0.0708691038169027,-0.3238897497005342,-0.05152830016539056
1776712954.3902013,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.051413766138554515,0.059355669221514695,-0.3234668403654972,0.036970939619131116
1776712954.4102042,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.0514627511294129,0.011318160760835694,-0.32354674876993006,0.0018075066548650653
1776712954.430213,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.05139765757841944,0.007541211272779513,-0.32357639491565804,-0.01016139957015838
1776712954.4501579,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.05125636548221933,0.019528408974956113,-0.323372473670615,0.02474267571775357
1776712954.4703,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.0517125601057602,-0.04812130316744323,-0.32375310874374297,-0.03649666020413811
1776712954.4902027,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.051791836921543086,-0.0180711836652665,-0.3236254170711723,0.006473124672599084
1776712954.5102031,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.051376309753490876,0.046847503830837356,-0.3233551332651903,0.03358050689376846
1776712954.5302153,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.05132220369828082,0.00818478662724953,-0.32372326995569745,-0.03520086420678936
1776712954.5505369,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.051347302466651035,-0.011193581468612823,-0.32349412502742464,0.014278867565181486
1776712954.57026,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.05167676842019259,-0.04268447445970658,-0.32342658550985703,0.01875259593792933
1776712954.5902035,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.051947550392804784,-0.03798741563186314,-0.32367998182571456,-0.02791966440637239
1776712954.610201,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.05119807366372661,0.07799204588804787,-0.32369073739235943,-0.005491317168562659
1776712954.6302025,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.05155680718552971,-0.025775857727889928,-0.32362651724937713,0.003991601314414339
1776712954.6502879,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.051661977288546504,-0.03315690430520046,-0.32359490689607273,0.005972497603249138
1776712954.6702101,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.05115612343534012,0.04315048684784495,-0.3235333119274693,0.006574211363574278
1776712954.6902976,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.051658226932581305,-0.05035536444498501,-0.32374012269768104,-0.019627525939837298
1776712954.7102017,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.051765416780621576,-0.022426830601368408,-0.3237855491648214,-0.00936874767521978
1776712954.7302043,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.0514438659120679,0.03576008691952581,-0.3237150142928631,0.010035976028817117
1776712954.7506168,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.051361150741365186,0.023733716712659003,-0.32346940900812804,0.0323112813934614
1776712954.7702067,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.05104587206631264,0.03334797001267331,-0.32346962614502794,0.002718089282698344
1776712954.7902806,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.05149698367657334,-0.04756477870530551,-0.3236942841475971,-0.02563852913218234
1776712954.8102074,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.05196072615722511,-0.05542855809987923,-0.3235807104668672,0.013166059705566724
1776712954.8304698,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.051328372195383075,0.06606796064094378,-0.3234778535670626,0.018960120679540893
1776712954.8502123,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.05117644293464371,0.04816244791312685,-0.323382610418726,0.01825396070916696
1776712954.8702545,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.05142784642067988,-0.01738962534295796,-0.32344841328828916,-0.002241041191528126
1776712954.8902261,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.05156046878979244,-0.013650639691703326,-0.3237414174071068,-0.02725524265271062
1776712954.9102206,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,0.0,0.0,1.3,0.0,-2.5,0.0,-0.051549254677452375,0.005447398852298946,-0.3237200508372089,-0.0006541485950481984
